        Measured Period [us]    Set Period [us]    Error [%]
 243                     397                 25        -1488
 244                     397                 25        -1488
 245                     396                 25        -1484
 246                     397                 25        -1488
 247                     397                 25        -1488
 248                     397                 25        -1488
 249                     397                 25        -1488
 250                     397                 25        -1488
 251                     396                 25        -1484
 252                     397                 25        -1488
 253                     397                 25        -1488
 254                     397                 25        -1488
 255                     397                 25        -1488
 256                     396                 25        -1484
 257                     397                 25        -1488
 258                     397                 25        -1488
 259                     397                 25        -1488
 260                     397                 25        -1488
 261                     397                 25        -1488
 262                     396                 25        -1484
 263                     397                 25        -1488
 264                     397                 25        -1488
 265                     397                 25        -1488
 266                     397                 25        -1488
 267                     396                 25        -1484
 268                     397                 25        -1488
 269                     397                 25        -1488
 270                     397                 25        -1488
 271                     397                 25        -1488
 272                     397                 25        -1488
 273                     396                 25        -1484
 274                     397                 25        -1488
 275                     397                 25        -1488
 276                     397                 25        -1488
 277                     397                 25        -1488
 278                     397                 25        -1488
 279                     396                 25        -1484
 280                     397                 25        -1488
 281                     397                 25        -1488
 282                     397                 25        -1488
 283                     397                 25        -1488
 284                     396                 25        -1484
 285                     397                 25        -1488
 286                     397                 25        -1488
 287                     397                 25        -1488
 288                     397                 25        -1488
 289                     397                 25        -1488
 290                     396                 25        -1484
 291                     397                 25        -1488
 292                     397                 25        -1488
 293                     397                 25        -1488
 294                     397                 25        -1488
 295                     396                 25        -1484
 296                     397                 25        -1488
 297                     397                 25        -1488
 298                     397                 25        -1488
 299                     397                 25        -1488
 300                     397                 25        -1488
 301                     396                 25        -1484
 302                     397                 25        -1488
 303                     397                 25        -1488
 304                     397                 25        -1488
 305                     397                 25        -1488
 306                     397                 25        -1488
 307                     396                 25        -1484
 308                     397                 25        -1488
 309                     397                 25        -1488
 310                     397                 25        -1488
 311                     397                 25        -1488
 312                     396                 25        -1484
 313                     397                 25        -1488
 314                     397                 25        -1488
 315                     397                 25        -1488
 316                     397                 25        -1488
 317                     397                 25        -1488
 318                     396                 25        -1484
 319                     397                 25        -1488
 320                     397                 25        -1488
 321                     397                 25        -1488
 322                     397                 25        -1488
 323                     396                 25        -1484
 324                     397                 25        -1488
 325                     397                 25        -1488
 326                     397                 25        -1488
 327                     397                 25        -1488
 328                     397                 25        -1488
 329                     396                 25        -1484
 330                     397                 25        -1488
 331                     397                 25        -1488
 332                     397                 25        -1488
 333                     397                 25        -1488
 334                     397                 25        -1488
 335                     396                 25        -1484
 336                     397                 25        -1488
 337                     397                 25        -1488
 338                     397                 25        -1488
 339                     397                 25        -1488
 340                     396                 25        -1484
 341                     397                 25        -1488
 342                     397                 25        -1488
 343                     397                 25        -1488
 344                     397                 25        -1488
 345                     397                 25        -1488
 346                     396                 25        -1484
 347                     397                 25        -1488
 348                     397                 25        -1488
 349                     397                 25        -1488
 350                     397                 25        -1488
 351                     396                 25        -1484
 352                     397                 25        -1488
 353                     397                 25        -1488
 354                     397                 25        -1488
 355                     397                 25        -1488
 356                     397                 25        -1488
 357                     396                 25        -1484
 358                     397                 25        -1488
 359                     397                 25        -1488
 360                     397                 25        -1488
 361                     397                 25        -1488
 362                     397                 25        -1488
 363                     396                 25        -1484
 364                     397                 25        -1488
 365                     397                 25        -1488
 366                     397                 25        -1488
 367                     397                 25        -1488
 368                     396                 25        -1484
 369                     397                 25        -1488
 370                     397                 25        -1488
 371                     397                 25        -1488
 372                     397                 25        -1488
 373                     397                 25        -1488
 374                     396                 25        -1484
 375                     397                 25        -1488
 376                     397                 25        -1488
 377                     397                 25        -1488
 378                     397                 25        -1488
 379                     396                 25        -1484
 380                     397                 25        -1488
 381                     397                 25        -1488
 382                     397                 25        -1488
 383                     397                 25        -1488
 384                     397                 25        -1488
 385                     396                 25        -1484
 386                     397                 25        -1488
 387                     397                 25        -1488
 388                     397                 25        -1488
 389                     397                 25        -1488
 390                     397                 25        -1488
 391                     396                 25        -1484
 392                     397                 25        -1488
 393                     397                 25        -1488
 394                     397                 25        -1488
 395                     397                 25        -1488
 396                     396                 25        -1484
 397                     397                 25        -1488
 398                     397                 25        -1488
 399                     397                 25        -1488
 400                     397                 25        -1488
 401                     397                 25        -1488
 402                     396                 25        -1484
 403                     397                 25        -1488
 404                     397                 25        -1488
 405                     397                 25        -1488
 406                     397                 25        -1488
 407                     396                 25        -1484
 408                     397                 25        -1488
 409                     397                 25        -1488
 410                     397                 25        -1488
 411                     397                 25        -1488
 412                     397                 25        -1488
 413                     396                 25        -1484
 414                     397                 25        -1488
 415                     397                 25        -1488
 416                     397                 25        -1488
 417                     397                 25        -1488
 418                     397                 25        -1488
 419                     396                 25        -1484
 420                     397                 25        -1488
 421                     397                 25        -1488
 422                     397                 25        -1488
 423                     397                 25        -1488
 424                     396                 25        -1484
 425                     397                 25        -1488
 426                     397                 25        -1488
 427                     397                 25        -1488
 428                     397                 25        -1488
 429                     397                 25        -1488
 430                     396                 25        -1484
 431                     397                 25        -1488
 432                     397                 25        -1488
 433                     397                 25        -1488
 434                     397                 25        -1488
 435                     396                 25        -1484
 436                     397                 25        -1488
 437                     397                 25        -1488
 438                     397                 25        -1488
 439                     397                 25        -1488
 440                     397                 25        -1488
 441                     396                 25        -1484
 442                     397                 25        -1488
 443                     397                 25        -1488
 444                     397                 25        -1488
 445                     397                 25        -1488
 446                     397                 25        -1488
 447                     396                 25        -1484
 448                     397                 25        -1488
 449                     397                 25        -1488
 450                     397                 25        -1488
 451                     397                 25        -1488
 452                     396                 25        -1484
 453                     397                 25        -1488
 454                     397                 25        -1488
 455                     397                 25        -1488
 456                     397                 25        -1488
 457                     397                 25        -1488
 458                     396                 25        -1484
 459                     397                 25        -1488
 460                     397                 25        -1488
 461                     397                 25        -1488
 462                     397                 25        -1488
 463                     396                 25        -1484
 464                     397                 25        -1488
 465                     397                 25        -1488
 466                     397                 25        -1488
 467                     397                 25        -1488
 468                     397                 25        -1488
 469                     396                 25        -1484
 470                     397                 25        -1488
 471                     397                 25        -1488
 472                     397                 25        -1488
 473                     397                 25        -1488
 474                     396                 25        -1484
 475                     397                 25        -1488
 476                     397                 25        -1488
 477                     397                 25        -1488
 478                     397                 25        -1488
 479                     397                 25        -1488
 480                     396                 25        -1484
 481                     397                 25        -1488
 482                     397                 25        -1488
 483                     397                 25        -1488
 484                     397                 25        -1488
 485                     397                 25        -1488
 486                     396                 25        -1484
 487                     397                 25        -1488
 488                     397                 25        -1488
 489                     397                 25        -1488
 490                     397                 25        -1488
 491                     396                 25        -1484
 492                     397                 25        -1488
 493                     397                 25        -1488
 494                     397                 25        -1488
 495                     397                 25        -1488
 496                     397                 25        -1488
 497                     396                 25        -1484
 498                     397                 25        -1488
 499                     397                 25        -1488
 500                     397                 25        -1488
 501                     397                 25        -1488
 502                     396                 25        -1484
 503                     397                 25        -1488
 504                     397                 25        -1488
 505                     397                 25        -1488
 506                     397                 25        -1488
 507                     397                 25        -1488
 508                     396                 25        -1484
 509                     397                 25        -1488
 510                     397                 25        -1488
 511                     397                 25        -1488
 512                     397                 25        -1488
 513                     397                 25        -1488
 514                     396                 25        -1484
 515                     397                 25        -1488
 516                     397                 25        -1488
 517                     397                 25        -1488
