        Measured Period [us]    Set Period [us]    Error [%]
 217                994.938                1000      0.50625
 218                993                    1000      0.7
 219                992.938                1000      0.70625
 220                995                    1000      0.5
 221                994.938                1000      0.50625
 222                994.938                1000      0.50625
 223                995                    1000      0.5
 224                992.938                1000      0.70625
 225                993                    1000      0.7
 226                994.938                1000      0.50625
 227                995                    1000      0.5
 228                994.938                1000      0.50625
 229                994.938                1000      0.50625
 230                993                    1000      0.7
 231                993                    1000      0.7
 232                994.938                1000      0.50625
 233                994.938                1000      0.50625
 234                995                    1000      0.5
 235                994.938                1000      0.50625
 236                993                    1000      0.7
 237                992.938                1000      0.70625
 238                995                    1000      0.5
 239                994.938                1000      0.50625
 240                994.938                1000      0.50625
 241                995                    1000      0.5
 242                994.938                1000      0.50625
 243                994.938                1000      0.50625
 244                993                    1000      0.7
 245                993                    1000      0.7
 246                994.938                1000      0.50625
 247                994.938                1000      0.50625
 248                993                    1000      0.7
 249                993                    1000      0.7
 250                994.938                1000      0.50625
 251                994.938                1000      0.50625
 252                995                    1000      0.5
 253                994.938                1000      0.50625
 254                994.938                1000      0.50625
 255                995                    1000      0.5
 256                992.938                1000      0.70625
 257                993                    1000      0.7
 258                994.938                1000      0.50625
 259                995                    1000      0.5
 260                994.938                1000      0.50625
 261                994.938                1000      0.50625
 262                993                    1000      0.7
 263                993                    1000      0.7
 264                994.938                1000      0.50625
 265                994.938                1000      0.50625
 266                995                    1000      0.5
 267                994.938                1000      0.50625
 268                993                    1000      0.7
 269                992.938                1000      0.70625
 270                995                    1000      0.5
 271                994.938                1000      0.50625
 272                994.938                1000      0.50625
 273                995                    1000      0.5
 274                992.938                1000      0.70625
 275                993                    1000      0.7
 276                994.938                1000      0.50625
 277                995                    1000      0.5
 278                994.938                1000      0.50625
 279                994.938                1000      0.50625
 280                993                    1000      0.7
 281                992.938                1000      0.70625
 282                995                    1000      0.5
 283                994.938                1000      0.50625
 284                995                    1000      0.5
 285                994.938                1000      0.50625
 286                992.938                1000      0.70625
 287                993                    1000      0.7
 288                994.938                1000      0.50625
 289                995                    1000      0.5
 290                994.938                1000      0.50625
 291                995                    1000      0.5
 292                992.938                1000      0.70625
 293                993                    1000      0.7
 294                994.938                1000      0.50625
 295                994.938                1000      0.50625
 296                995                    1000      0.5
 297                994.938                1000      0.50625
 298                993                    1000      0.7
 299                992.938                1000      0.70625
 300                995                    1000      0.5
 301                994.938                1000      0.50625
 302                994.938                1000      0.50625
 303                995                    1000      0.5
 304                992.938                1000      0.70625
 305                993                    1000      0.7
 306                994.938                1000      0.50625
 307                995                    1000      0.5
 308                994.938                1000      0.50625
 309                994.938                1000      0.50625
 310                995                    1000      0.5
 311                994.938                1000      0.50625
 312                993                    1000      0.7
 313                992.938                1000      0.70625
 314                995                    1000      0.5
 315                994.938                1000      0.50625
 316                994.938                1000      0.50625
 317                995                    1000      0.5
 318                992.938                1000      0.70625
 319                993                    1000      0.7
 320                994.938                1000      0.50625
 321                995                    1000      0.5
 322                994.938                1000      0.50625
 323                994.938                1000      0.50625
