        Measured Period [us]    Set Period [us]    Error [%]
----  ----------------------  -----------------  -----------
   0                 198.625                200      0.6875
   1                 198.688                200      0.65625
   2                 198.625                200      0.6875
   3                 198.625                200      0.6875
   4                 198.688                200      0.65625
   5                 198.625                200      0.6875
   6                 198.625                200      0.6875
   7                 198.688                200      0.65625
   8                 198.625                200      0.6875
   9                 198.625                200      0.6875
  10                 198.625                200      0.6875
  11                 198.688                200      0.65625
  12                 198.625                200      0.6875
  13                 198.625                200      0.6875
  14                 198.688                200      0.65625
  15                 198.625                200      0.6875
  16                 198.625                200      0.6875
  17                 198.688                200      0.65625
  18                 198.625                200      0.6875
  19                 198.625                200      0.6875
  20                 198.688                200      0.65625
  21                 198.625                200      0.6875
  22                 198.625                200      0.6875
  23                 198.5                  200      0.75
  24                 198.562                200      0.71875
  25                 198.5                  200      0.75
  26                 198.5                  200      0.75
  27                 198.562                200      0.71875
  28                 198.5                  200      0.75
  29                 198.5                  200      0.75
  30                 198.562                200      0.71875
  31                 198.5                  200      0.75
  32                 198.5                  200      0.75
  33                 198.562                200      0.71875
  34                 198.5                  200      0.75
  35                 198.5                  200      0.75
  36                 198.562                200      0.71875
  37                 198.5                  200      0.75
  38                 198.5                  200      0.75
  39                 198.562                200      0.71875
  40                 198.5                  200      0.75
  41                 198.5                  200      0.75
  42                 198.562                200      0.71875
  43                 198.5                  200      0.75
  44                 198.5                  200      0.75
  45                 198.562                200      0.71875
  46                 198.5                  200      0.75
  47                 198.5                  200      0.75
  48                 198.562                200      0.71875
  49                 198.5                  200      0.75
  50                 198.5                  200      0.75
  51                 198.562                200      0.71875
  52                 198.5                  200      0.75
  53                 198.5                  200      0.75
  54                 198.562                200      0.71875
  55                 198.5                  200      0.75
  56                 198.5                  200      0.75
  57                 198.5                  200      0.75
  58                 198.562                200      0.71875
  59                 198.5                  200      0.75
  60                 198.5                  200      0.75
  61                 198.562                200      0.71875
  62                 198.5                  200      0.75
  63                 198.5                  200      0.75
  64                 198.562                200      0.71875
  65                 198.5                  200      0.75
  66                 198.5                  200      0.75
  67                 198.562                200      0.71875
  68                 198.5                  200      0.75
  69                 198.5                  200      0.75
  70                 198.562                200      0.71875
  71                 198.5                  200      0.75
  72                 198.5                  200      0.75
  73                 198.562                200      0.71875
  74                 198.5                  200      0.75
  75                 198.5                  200      0.75
  76                 198.562                200      0.71875
  77                 198.5                  200      0.75
  78                 198.5                  200      0.75
  79                 198.562                200      0.71875
  80                 198.5                  200      0.75
  81                 198.5                  200      0.75
  82                 198.562                200      0.71875
  83                 198.5                  200      0.75
  84                 198.5                  200      0.75
  85                 198.562                200      0.71875
  86                 198.5                  200      0.75
  87                 198.5                  200      0.75
  88                 198.562                200      0.71875
  89                 198.5                  200      0.75
  90                 198.5                  200      0.75
  91                 198.5                  200      0.75
  92                 198.562                200      0.71875
  93                 198.5                  200      0.75
  94                 198.5                  200      0.75
  95                 198.562                200      0.71875
  96                 198.5                  200      0.75
  97                 198.5                  200      0.75
  98                 198.562                200      0.71875
  99                 198.5                  200      0.75
 100                 198.5                  200      0.75
 101                 198.562                200      0.71875
 102                 198.5                  200      0.75
 103                 198.5                  200      0.75
 104                 198.562                200      0.71875
 105                 198.5                  200      0.75
 106                 198.5                  200      0.75
 107                 198.562                200      0.71875
 108                 198.5                  200      0.75
 109                 198.5                  200      0.75
 110                 198.562                200      0.71875
 111                 198.5                  200      0.75
 112                 198.5                  200      0.75
 113                 198.562                200      0.71875
 114                 198.5                  200      0.75
 115                 198.5                  200      0.75
 116                 198.562                200      0.71875
 117                 198.5                  200      0.75
 118                 198.5                  200      0.75
 119                 198.562                200      0.71875
 120                 198.5                  200      0.75
 121                 198.5                  200      0.75
 122                 198.562                200      0.71875
 123                 198.5                  200      0.75
 124                 198.5                  200      0.75
 125                 198.5                  200      0.75
 126                 198.562                200      0.71875
 127                 198.5                  200      0.75
 128                 198.5                  200      0.75
 129                 198.562                200      0.71875
 130                 198.5                  200      0.75
 131                 198.5                  200      0.75
 132                 198.562                200      0.71875
 133                 198.5                  200      0.75
 134                 198.5                  200      0.75
 135                 198.562                200      0.71875
 136                 198.5                  200      0.75
 137                 198.5                  200      0.75
 138                 198.562                200      0.71875
 139                 198.5                  200      0.75
 140                 198.5                  200      0.75
 141                 198.562                200      0.71875
 142                 198.5                  200      0.75
 143                 198.5                  200      0.75
 144                 198.562                200      0.71875
 145                 198.5                  200      0.75
 146                 198.5                  200      0.75
 147                 198.562                200      0.71875
 148                 198.5                  200      0.75
 149                 198.5                  200      0.75
 150                 198.562                200      0.71875
 151                 198.5                  200      0.75
 152                 198.5                  200      0.75
 153                 198.562                200      0.71875
 154                 198.5                  200      0.75
 155                 198.5                  200      0.75
 156                 198.5                  200      0.75
 157                 198.562                200      0.71875
 158                 198.5                  200      0.75
 159                 198.5                  200      0.75
 160                 198.562                200      0.71875
 161                 198.5                  200      0.75
 162                 198.5                  200      0.75
 163                 198.562                200      0.71875
 164                 198.5                  200      0.75
 165                 198.5                  200      0.75
 166                 198.562                200      0.71875
 167                 198.5                  200      0.75
 168                 198.5                  200      0.75
 169                 198.562                200      0.71875
 170                 198.5                  200      0.75
 171                 198.5                  200      0.75
 172                 198.562                200      0.71875
 173                 198.625                200      0.6875
 174                 198.625                200      0.6875
 175                 198.688                200      0.65625
 176                 198.625                200      0.6875
 177                 198.625                200      0.6875
 178                 198.625                200      0.6875
 179                 198.688                200      0.65625
 180                 198.625                200      0.6875
 181                 198.625                200      0.6875
 182                 198.688                200      0.65625
 183                 198.625                200      0.6875
 184                 198.625                200      0.6875
 185                 198.688                200      0.65625
 186                 198.625                200      0.6875
 187                 198.625                200      0.6875
 188                 198.688                200      0.65625
 189                 198.625                200      0.6875
 190                 198.625                200      0.6875
 191                 198.625                200      0.6875
 192                 198.688                200      0.65625
 193                 198.625                200      0.6875
 194                 198.625                200      0.6875
 195                 198.688                200      0.65625
 196                 198.625                200      0.6875
 197                 198.625                200      0.6875
 198                 198.688                200      0.65625
 199                 198.625                200      0.6875
 200                 198.625                200      0.6875
 201                 198.625                200      0.6875
 202                 198.688                200      0.65625
 203                 198.625                200      0.6875
 204                 198.625                200      0.6875
 205                 198.688                200      0.65625
 206                 198.625                200      0.6875
 207                 198.625                200      0.6875
 208                 198.688                200      0.65625
 209                 198.625                200      0.6875
 210                 198.625                200      0.6875
 211                 198.688                200      0.65625
 212                 198.625                200      0.6875
 213                 198.625                200      0.6875
 214                 198.625                200      0.6875
 215                 198.688                200      0.65625
 216                 198.625                200      0.6875
 217                 198.625                200      0.6875
 218                 198.688                200      0.65625
 219                 198.625                200      0.6875
 220                 198.625                200      0.6875
 221                 198.688                200      0.65625
 222                 198.625                200      0.6875
 223                 198.5                  200      0.75
 224                 198.562                200      0.71875
 225                 198.5                  200      0.75
 226                 198.5                  200      0.75
 227                 198.562                200      0.71875
 228                 198.5                  200      0.75
 229                 198.5                  200      0.75
 230                 198.5                  200      0.75
 231                 198.562                200      0.71875
 232                 198.5                  200      0.75
 233                 198.5                  200      0.75
 234                 198.562                200      0.71875
 235                 198.5                  200      0.75
 236                 198.5                  200      0.75
 237                 198.562                200      0.71875
 238                 198.5                  200      0.75
 239                 198.5                  200      0.75
 240                 198.562                200      0.71875
 241                 198.5                  200      0.75
 242                 198.5                  200      0.75
 243                 198.562                200      0.71875
 244                 198.5                  200      0.75
 245                 198.5                  200      0.75
 246                 198.562                200      0.71875
 247                 198.5                  200      0.75
 248                 198.5                  200      0.75
 249                 198.562                200      0.71875
 250                 198.5                  200      0.75
 251                 198.5                  200      0.75
 252                 198.562                200      0.71875
 253                 198.5                  200      0.75
 254                 198.5                  200      0.75
 255                 198.562                200      0.71875
 256                 198.5                  200      0.75
 257                 198.5                  200      0.75
 258                 198.562                200      0.71875
 259                 198.5                  200      0.75
 260                 198.5                  200      0.75
 261                 198.5                  200      0.75
 262                 198.562                200      0.71875
 263                 198.5                  200      0.75
 264                 198.5                  200      0.75
 265                 198.562                200      0.71875
 266                 198.5                  200      0.75
 267                 198.5                  200      0.75
 268                 198.562                200      0.71875
 269                 198.5                  200      0.75
 270                 198.5                  200      0.75
 271                 198.562                200      0.71875
 272                 198.5                  200      0.75
 273                 198.5                  200      0.75
 274                 198.562                200      0.71875
 275                 198.5                  200      0.75
 276                 198.5                  200      0.75
 277                 198.562                200      0.71875
 278                 198.5                  200      0.75
 279                 198.5                  200      0.75
 280                 198.562                200      0.71875
 281                 198.5                  200      0.75
 282                 198.5                  200      0.75
 283                 198.562                200      0.71875
 284                 198.5                  200      0.75
 285                 198.5                  200      0.75
 286                 198.562                200      0.71875
 287                 198.5                  200      0.75
 288                 198.5                  200      0.75
 289                 198.562                200      0.71875
 290                 198.5                  200      0.75
 291                 198.5                  200      0.75
 292                 198.5                  200      0.75
 293                 198.562                200      0.71875
 294                 198.5                  200      0.75
 295                 198.5                  200      0.75
 296                 198.562                200      0.71875
 297                 198.5                  200      0.75
 298                 198.5                  200      0.75
 299                 198.562                200      0.71875
 300                 198.5                  200      0.75
 301                 198.5                  200      0.75
 302                 198.562                200      0.71875
 303                 198.5                  200      0.75
 304                 198.5                  200      0.75
 305                 198.562                200      0.71875
 306                 198.5                  200      0.75
 307                 198.5                  200      0.75
 308                 198.562                200      0.71875
 309                 198.5                  200      0.75
 310                 198.5                  200      0.75
 311                 198.562                200      0.71875
 312                 198.5                  200      0.75
 313                 198.5                  200      0.75
 314                 198.562                200      0.71875
 315                 198.5                  200      0.75
 316                 198.5                  200      0.75
 317                 198.562                200      0.71875
 318                 198.5                  200      0.75
 319                 198.5                  200      0.75
 320                 198.562                200      0.71875
 321                 198.5                  200      0.75
 322                 198.5                  200      0.75
 323                 198.5                  200      0.75
 324                 198.562                200      0.71875
 325                 198.5                  200      0.75
 326                 198.5                  200      0.75
 327                 198.562                200      0.71875
 328                 198.5                  200      0.75
 329                 198.5                  200      0.75
 330                 198.562                200      0.71875
 331                 198.5                  200      0.75
 332                 198.5                  200      0.75
 333                 198.562                200      0.71875
 334                 198.5                  200      0.75
 335                 198.5                  200      0.75
 336                 198.562                200      0.71875
 337                 198.5                  200      0.75
 338                 198.5                  200      0.75
 339                 198.562                200      0.71875
 340                 198.5                  200      0.75
 341                 198.5                  200      0.75
 342                 198.562                200      0.71875
 343                 198.5                  200      0.75
 344                 198.5                  200      0.75
 345                 198.562                200      0.71875
 346                 198.5                  200      0.75
 347                 198.5                  200      0.75
 348                 198.562                200      0.71875
 349                 198.5                  200      0.75
 350                 198.5                  200      0.75
 351                 198.562                200      0.71875
 352                 198.5                  200      0.75
 353                 198.5                  200      0.75
 354                 198.562                200      0.71875
 355                 198.5                  200      0.75
 356                 198.5                  200      0.75
 357                 198.5                  200      0.75
 358                 198.562                200      0.71875
 359                 198.5                  200      0.75
 360                 198.5                  200      0.75
 361                 198.562                200      0.71875
 362                 198.5                  200      0.75
 363                 198.5                  200      0.75
 364                 198.562                200      0.71875
 365                 198.5                  200      0.75
 366                 198.5                  200      0.75
 367                 198.562                200      0.71875
 368                 198.5                  200      0.75
 369                 198.5                  200      0.75
 370                 198.562                200      0.71875
 371                 198.5                  200      0.75
 372                 198.5                  200      0.75
 373                 198.688                200      0.65625
 374                 198.625                200      0.6875
 375                 198.625                200      0.6875
 376                 198.688                200      0.65625
 377                 198.625                200      0.6875
 378                 198.625                200      0.6875
 379                 198.625                200      0.6875
 380                 198.688                200      0.65625
 381                 198.625                200      0.6875
 382                 198.625                200      0.6875
 383                 198.688                200      0.65625
 384                 198.625                200      0.6875
 385                 198.625                200      0.6875
 386                 198.688                200      0.65625
 387                 198.625                200      0.6875
 388                 198.625                200      0.6875
 389                 198.625                200      0.6875
 390                 198.688                200      0.65625
 391                 198.625                200      0.6875
 392                 198.625                200      0.6875
 393                 198.688                200      0.65625
 394                 198.625                200      0.6875
 395                 198.625                200      0.6875
 396                 198.688                200      0.65625
 397                 198.625                200      0.6875
 398                 198.625                200      0.6875
 399                 198.688                200      0.65625
 400                 198.625                200      0.6875
 401                 198.625                200      0.6875
 402                 198.625                200      0.6875
 403                 198.688                200      0.65625
 404                 198.625                200      0.6875
 405                 198.625                200      0.6875
 406                 198.688                200      0.65625
 407                 198.625                200      0.6875
 408                 198.625                200      0.6875
 409                 198.688                200      0.65625
 410                 198.625                200      0.6875
 411                 198.625                200      0.6875
 412                 198.688                200      0.65625
 413                 198.625                200      0.6875
 414                 198.625                200      0.6875
 415                 198.625                200      0.6875
 416                 198.688                200      0.65625
 417                 198.625                200      0.6875
 418                 198.625                200      0.6875
 419                 198.688                200      0.65625
 420                 198.625                200      0.6875
 421                 198.625                200      0.6875
 422                 198.688                200      0.65625
 423                 198.5                  200      0.75
 424                 198.5                  200      0.75
 425                 198.562                200      0.71875
 426                 198.5                  200      0.75
 427                 198.5                  200      0.75
 428                 198.562                200      0.71875
 429                 198.5                  200      0.75
 430                 198.5                  200      0.75
 431                 198.5                  200      0.75
 432                 198.562                200      0.71875
 433                 198.5                  200      0.75
 434                 198.5                  200      0.75
 435                 198.562                200      0.71875
 436                 198.5                  200      0.75
 437                 198.5                  200      0.75
 438                 198.562                200      0.71875
 439                 198.5                  200      0.75
 440                 198.5                  200      0.75
 441                 198.562                200      0.71875
 442                 198.5                  200      0.75
 443                 198.5                  200      0.75
