        Measured Period [us]    Set Period [us]    Error [%]
----  ----------------------  -----------------  -----------
   0                 99.3125                100       0.6875
   1                 99.3125                100       0.6875
   2                 99.3125                100       0.6875
   3                 99.3125                100       0.6875
   4                 99.3125                100       0.6875
   5                 99.375                 100       0.625
   6                 99.3125                100       0.6875
   7                 99.3125                100       0.6875
   8                 99.3125                100       0.6875
   9                 99.3125                100       0.6875
  10                 99.3125                100       0.6875
  11                 99.3125                100       0.6875
  12                 99.375                 100       0.625
  13                 99.3125                100       0.6875
  14                 99.3125                100       0.6875
  15                 99.3125                100       0.6875
  16                 99.3125                100       0.6875
  17                 99.3125                100       0.6875
  18                 99.375                 100       0.625
  19                 99.3125                100       0.6875
  20                 99.3125                100       0.6875
  21                 99.3125                100       0.6875
  22                 99.3125                100       0.6875
  23                 99.3125                100       0.6875
  24                 99.3125                100       0.6875
  25                 99.375                 100       0.625
  26                 99.3125                100       0.6875
  27                 99.3125                100       0.6875
  28                 99.3125                100       0.6875
  29                 99.3125                100       0.6875
  30                 99.3125                100       0.6875
  31                 99.375                 100       0.625
  32                 99.3125                100       0.6875
  33                 99.3125                100       0.6875
  34                 99.3125                100       0.6875
  35                 99.3125                100       0.6875
  36                 99.3125                100       0.6875
  37                 99.3125                100       0.6875
  38                 99.375                 100       0.625
  39                 99.3125                100       0.6875
  40                 99.3125                100       0.6875
  41                 99.3125                100       0.6875
  42                 99.3125                100       0.6875
  43                 99.3125                100       0.6875
  44                 99.375                 100       0.625
  45                 99.3125                100       0.6875
  46                 99.3125                100       0.6875
  47                 99.3125                100       0.6875
  48                 99.3125                100       0.6875
  49                 99.3125                100       0.6875
  50                 99.3125                100       0.6875
  51                 99.375                 100       0.625
  52                 99.3125                100       0.6875
  53                 99.3125                100       0.6875
  54                 99.3125                100       0.6875
  55                 99.3125                100       0.6875
  56                 99.3125                100       0.6875
  57                 99.3125                100       0.6875
  58                 99.375                 100       0.625
  59                 99.3125                100       0.6875
  60                 99.3125                100       0.6875
  61                 99.3125                100       0.6875
  62                 99.3125                100       0.6875
  63                 99.3125                100       0.6875
  64                 99.375                 100       0.625
  65                 99.3125                100       0.6875
  66                 99.3125                100       0.6875
  67                 99.3125                100       0.6875
  68                 99.3125                100       0.6875
  69                 99.3125                100       0.6875
  70                 99.3125                100       0.6875
  71                 99.375                 100       0.625
  72                 99.3125                100       0.6875
  73                 99.3125                100       0.6875
  74                 99.3125                100       0.6875
  75                 99.3125                100       0.6875
  76                 99.3125                100       0.6875
  77                 99.375                 100       0.625
  78                 99.3125                100       0.6875
  79                 99.3125                100       0.6875
  80                 99.3125                100       0.6875
  81                 99.3125                100       0.6875
  82                 99.3125                100       0.6875
  83                 99.3125                100       0.6875
  84                 99.375                 100       0.625
  85                 99.3125                100       0.6875
  86                 99.3125                100       0.6875
  87                 99.3125                100       0.6875
