        Measured Period [us]    Set Period [us]    Error [%]
----  ----------------------  -----------------  -----------
   0                 39.8125                 40      0.46875
   1                 39.875                  40      0.3125
   2                 39.8125                 40      0.46875
   3                 39.8125                 40      0.46875
   4                 39.875                  40      0.3125
   5                 39.8125                 40      0.46875
   6                 39.875                  40      0.3125
   7                 39.8125                 40      0.46875
   8                 39.875                  40      0.3125
   9                 39.8125                 40      0.46875
  10                 39.875                  40      0.3125
  11                 39.8125                 40      0.46875
  12                 39.8125                 40      0.46875
  13                 39.875                  40      0.3125
  14                 39.8125                 40      0.46875
  15                 39.875                  40      0.3125
  16                 39.8125                 40      0.46875
  17                 39.875                  40      0.3125
  18                 39.8125                 40      0.46875
  19                 39.875                  40      0.3125
  20                 39.8125                 40      0.46875
  21                 39.8125                 40      0.46875
  22                 39.875                  40      0.3125
  23                 39.8125                 40      0.46875
  24                 39.875                  40      0.3125
  25                 39.8125                 40      0.46875
  26                 39.875                  40      0.3125
  27                 39.8125                 40      0.46875
  28                 39.875                  40      0.3125
  29                 39.8125                 40      0.46875
  30                 39.8125                 40      0.46875
  31                 39.875                  40      0.3125
  32                 39.8125                 40      0.46875
  33                 39.875                  40      0.3125
  34                 39.8125                 40      0.46875
  35                 39.875                  40      0.3125
  36                 39.8125                 40      0.46875
  37                 39.875                  40      0.3125
  38                 39.8125                 40      0.46875
  39                 39.8125                 40      0.46875
  40                 39.875                  40      0.3125
  41                 39.8125                 40      0.46875
  42                 39.875                  40      0.3125
  43                 39.8125                 40      0.46875
  44                 39.875                  40      0.3125
  45                 39.8125                 40      0.46875
  46                 39.875                  40      0.3125
  47                 39.8125                 40      0.46875
  48                 39.8125                 40      0.46875
  49                 40.0625                 40     -0.15625
  50                 40                      40      0
  51                 40.0625                 40     -0.15625
  52                 40                      40      0
  53                 40.0625                 40     -0.15625
  54                 40                      40      0
  55                 40                      40      0
  56                 40.0625                 40     -0.15625
  57                 40                      40      0
  58                 40.0625                 40     -0.15625
  59                 40                      40      0
  60                 40.0625                 40     -0.15625
  61                 40                      40      0
  62                 40                      40      0
  63                 40.0625                 40     -0.15625
  64                 40                      40      0
  65                 40.0625                 40     -0.15625
  66                 40                      40      0
  67                 40                      40      0
  68                 40.0625                 40     -0.15625
  69                 40                      40      0
  70                 40.0625                 40     -0.15625
  71                 40                      40      0
  72                 40.0625                 40     -0.15625
  73                 39.8125                 40      0.46875
  74                 39.8125                 40      0.46875
  75                 39.875                  40      0.3125
  76                 39.8125                 40      0.46875
  77                 39.875                  40      0.3125
  78                 39.8125                 40      0.46875
  79                 39.875                  40      0.3125
  80                 39.8125                 40      0.46875
  81                 39.875                  40      0.3125
  82                 39.8125                 40      0.46875
  83                 39.8125                 40      0.46875
  84                 39.875                  40      0.3125
  85                 39.8125                 40      0.46875
  86                 39.875                  40      0.3125
  87                 39.8125                 40      0.46875
  88                 39.875                  40      0.3125
  89                 39.8125                 40      0.46875
  90                 39.875                  40      0.3125
  91                 39.8125                 40      0.46875
  92                 39.8125                 40      0.46875
  93                 39.875                  40      0.3125
  94                 39.8125                 40      0.46875
  95                 39.875                  40      0.3125
  96                 39.8125                 40      0.46875
  97                 39.875                  40      0.3125
  98                 39.8125                 40      0.46875
  99                 39.875                  40      0.3125
 100                 39.8125                 40      0.46875
 101                 39.8125                 40      0.46875
 102                 39.875                  40      0.3125
 103                 39.8125                 40      0.46875
 104                 39.875                  40      0.3125
 105                 39.8125                 40      0.46875
 106                 39.875                  40      0.3125
 107                 39.8125                 40      0.46875
 108                 39.875                  40      0.3125
 109                 39.8125                 40      0.46875
 110                 39.8125                 40      0.46875
 111                 39.875                  40      0.3125
 112                 39.8125                 40      0.46875
 113                 39.875                  40      0.3125
 114                 39.8125                 40      0.46875
 115                 39.875                  40      0.3125
 116                 39.8125                 40      0.46875
 117                 39.875                  40      0.3125
 118                 39.8125                 40      0.46875
 119                 39.8125                 40      0.46875
 120                 39.875                  40      0.3125
