        Measured Period [us]    Set Period [us]    Error [%]
 243                     396                 25        -1484
 244                     397                 25        -1488
 245                     397                 25        -1488
 246                     397                 25        -1488
 247                     397                 25        -1488
 248                     397                 25        -1488
 249                     396                 25        -1484
 250                     397                 25        -1488
 251                     397                 25        -1488
 252                     397                 25        -1488
 253                     397                 25        -1488
 254                     397                 25        -1488
 255                     396                 25        -1484
 256                     397                 25        -1488
 257                     397                 25        -1488
 258                     397                 25        -1488
 259                     397                 25        -1488
 260                     397                 25        -1488
 261                     396                 25        -1484
 262                     397                 25        -1488
 263                     397                 25        -1488
 264                     397                 25        -1488
 265                     397                 25        -1488
 266                     397                 25        -1488
 267                     396                 25        -1484
 268                     397                 25        -1488
 269                     397                 25        -1488
 270                     397                 25        -1488
 271                     397                 25        -1488
 272                     397                 25        -1488
 273                     396                 25        -1484
 274                     397                 25        -1488
 275                     397                 25        -1488
 276                     397                 25        -1488
 277                     397                 25        -1488
 278                     397                 25        -1488
 279                     396                 25        -1484
 280                     397                 25        -1488
 281                     397                 25        -1488
 282                     397                 25        -1488
 283                     397                 25        -1488
 284                     397                 25        -1488
 285                     396                 25        -1484
 286                     397                 25        -1488
 287                     397                 25        -1488
 288                     397                 25        -1488
 289                     397                 25        -1488
 290                     396                 25        -1484
 291                     397                 25        -1488
 292                     397                 25        -1488
 293                     397                 25        -1488
 294                     397                 25        -1488
 295                     397                 25        -1488
 296                     396                 25        -1484
 297                     397                 25        -1488
 298                     397                 25        -1488
 299                     397                 25        -1488
 300                     397                 25        -1488
 301                     397                 25        -1488
 302                     396                 25        -1484
 303                     397                 25        -1488
 304                     397                 25        -1488
 305                     397                 25        -1488
 306                     397                 25        -1488
 307                     397                 25        -1488
 308                     396                 25        -1484
 309                     397                 25        -1488
 310                     397                 25        -1488
 311                     397                 25        -1488
 312                     397                 25        -1488
 313                     397                 25        -1488
 314                     396                 25        -1484
 315                     397                 25        -1488
 316                     397                 25        -1488
 317                     397                 25        -1488
 318                     397                 25        -1488
 319                     397                 25        -1488
 320                     396                 25        -1484
 321                     397                 25        -1488
 322                     397                 25        -1488
 323                     397                 25        -1488
 324                     397                 25        -1488
 325                     397                 25        -1488
 326                     396                 25        -1484
 327                     397                 25        -1488
 328                     397                 25        -1488
 329                     397                 25        -1488
 330                     397                 25        -1488
 331                     396                 25        -1484
 332                     397                 25        -1488
 333                     397                 25        -1488
 334                     397                 25        -1488
 335                     397                 25        -1488
 336                     397                 25        -1488
 337                     396                 25        -1484
 338                     397                 25        -1488
 339                     397                 25        -1488
 340                     397                 25        -1488
 341                     397                 25        -1488
 342                     397                 25        -1488
 343                     396                 25        -1484
 344                     397                 25        -1488
 345                     397                 25        -1488
 346                     397                 25        -1488
 347                     397                 25        -1488
 348                     397                 25        -1488
 349                     396                 25        -1484
 350                     397                 25        -1488
 351                     397                 25        -1488
 352                     397                 25        -1488
 353                     397                 25        -1488
 354                     397                 25        -1488
 355                     396                 25        -1484
 356                     397                 25        -1488
 357                     397                 25        -1488
 358                     397                 25        -1488
 359                     397                 25        -1488
 360                     397                 25        -1488
 361                     396                 25        -1484
 362                     397                 25        -1488
 363                     397                 25        -1488
 364                     397                 25        -1488
 365                     397                 25        -1488
 366                     397                 25        -1488
 367                     396                 25        -1484
 368                     397                 25        -1488
 369                     397                 25        -1488
 370                     397                 25        -1488
 371                     397                 25        -1488
 372                     397                 25        -1488
 373                     396                 25        -1484
 374                     397                 25        -1488
 375                     397                 25        -1488
 376                     397                 25        -1488
 377                     397                 25        -1488
 378                     396                 25        -1484
 379                     397                 25        -1488
 380                     397                 25        -1488
 381                     397                 25        -1488
 382                     397                 25        -1488
 383                     397                 25        -1488
 384                     396                 25        -1484
 385                     397                 25        -1488
 386                     397                 25        -1488
 387                     397                 25        -1488
 388                     397                 25        -1488
 389                     397                 25        -1488
 390                     396                 25        -1484
 391                     397                 25        -1488
 392                     397                 25        -1488
 393                     397                 25        -1488
 394                     397                 25        -1488
 395                     397                 25        -1488
 396                     396                 25        -1484
 397                     397                 25        -1488
 398                     397                 25        -1488
 399                     397                 25        -1488
 400                     397                 25        -1488
 401                     397                 25        -1488
 402                     396                 25        -1484
 403                     397                 25        -1488
 404                     397                 25        -1488
 405                     397                 25        -1488
 406                     397                 25        -1488
 407                     397                 25        -1488
 408                     396                 25        -1484
 409                     397                 25        -1488
 410                     397                 25        -1488
 411                     397                 25        -1488
 412                     397                 25        -1488
 413                     397                 25        -1488
 414                     396                 25        -1484
 415                     397                 25        -1488
